4.10,4.40,30.20,43.00,Sun May 14 17:07:04 CEST 2017
4.60,5.20,29.90,42.90,Sun May 14 17:09:03 CEST 2017
4.80,5.20,30.10,42.20,Sun May 14 17:10:05 CEST 2017
4.30,4.60,30.10,41.80,Sun May 14 17:11:04 CEST 2017
3.90,4.90,30.60,41.60,Sun May 14 17:12:03 CEST 2017
4.80,6.20,31.40,41.60,Sun May 14 17:13:05 CEST 2017
4.60,5.00,31.60,41.80,Sun May 14 17:14:04 CEST 2017
4.20,4.60,30.90,41.90,Sun May 14 17:15:03 CEST 2017
4.80,5.20,30.90,42.10,Sun May 14 17:16:02 CEST 2017
4.90,5.30,30.40,42.20,Sun May 14 17:17:04 CEST 2017
4.60,5.10,30.30,41.70,Sun May 14 17:18:03 CEST 2017
4.70,5.20,31.20,41.20,Sun May 14 17:19:02 CEST 2017
4.80,5.40,31.60,41.10,Sun May 14 17:20:04 CEST 2017
5.80,6.30,31.50,41.10,Sun May 14 17:21:03 CEST 2017
4.60,5.30,31.80,41.30,Sun May 14 17:22:02 CEST 2017
5.00,5.60,31.90,41.40,Sun May 14 17:23:04 CEST 2017
4.70,5.00,31.00,41.80,Sun May 14 17:25:03 CEST 2017
4.40,4.90,30.80,42.20,Sun May 14 17:26:03 CEST 2017
4.70,5.80,30.50,42.50,Sun May 14 17:27:05 CEST 2017
4.30,4.60,29.70,42.50,Sun May 14 17:28:04 CEST 2017
4.70,5.00,30.50,41.80,Sun May 14 17:29:03 CEST 2017
4.20,4.60,30.80,41.50,Sun May 14 17:30:05 CEST 2017
4.60,5.00,31.40,41.00,Sun May 14 17:31:04 CEST 2017
4.30,4.70,31.40,40.10,Sun May 14 17:32:03 CEST 2017
4.30,4.60,31.90,38.90,Sun May 14 17:33:05 CEST 2017
4.70,5.20,32.40,37.60,Sun May 14 17:34:04 CEST 2017
4.40,4.80,32.80,37.30,Sun May 14 17:35:03 CEST 2017
4.50,4.90,33.40,37.60,Sun May 14 17:36:05 CEST 2017
5.00,5.50,32.60,38.30,Sun May 14 17:37:04 CEST 2017
4.70,5.10,32.30,38.80,Sun May 14 17:38:03 CEST 2017
5.30,5.90,31.50,39.00,Sun May 14 17:39:05 CEST 2017
4.70,5.20,31.70,38.90,Sun May 14 17:40:04 CEST 2017
4.70,5.20,32.60,38.80,Sun May 14 17:41:03 CEST 2017
5.40,7.10,32.70,38.50,Sun May 14 17:42:02 CEST 2017
5.80,20.60,33.50,37.90,Sun May 14 17:43:05 CEST 2017
5.60,12.90,33.60,37.10,Sun May 14 17:44:04 CEST 2017
5.60,12.00,34.30,36.40,Sun May 14 17:45:03 CEST 2017
5.30,5.80,34.90,35.60,Sun May 14 17:46:02 CEST 2017
5.40,7.80,35.10,35.00,Sun May 14 17:47:04 CEST 2017
4.90,5.40,35.60,34.50,Sun May 14 17:48:03 CEST 2017
5.10,5.70,35.70,34.00,Sun May 14 17:49:05 CEST 2017
4.90,5.40,36.40,33.60,Sun May 14 17:50:04 CEST 2017
5.00,5.50,36.80,33.70,Sun May 14 17:51:03 CEST 2017
5.00,5.60,36.10,34.50,Sun May 14 17:52:05 CEST 2017
4.90,5.50,36.30,34.70,Sun May 14 17:53:04 CEST 2017
5.10,8.40,35.30,35.10,Sun May 14 17:54:03 CEST 2017
5.40,7.90,35.90,35.30,Sun May 14 17:55:02 CEST 2017
5.30,10.60,35.50,35.90,Sun May 14 17:56:04 CEST 2017
5.20,5.70,34.70,36.70,Sun May 14 17:57:03 CEST 2017
4.90,5.40,33.30,37.50,Sun May 14 17:58:02 CEST 2017
4.80,5.30,33.20,37.80,Sun May 14 17:59:04 CEST 2017
5.90,6.50,33.30,37.70,Sun May 14 18:00:03 CEST 2017
5.70,6.20,34.10,38.20,Sun May 14 18:01:02 CEST 2017
4.40,4.80,33.50,38.70,Sun May 14 18:02:04 CEST 2017
4.80,5.20,32.30,39.00,Sun May 14 18:03:03 CEST 2017
4.50,4.90,32.40,39.20,Sun May 14 18:04:02 CEST 2017
4.10,4.50,32.40,39.40,Sun May 14 18:05:04 CEST 2017
4.20,6.10,31.80,39.10,Sun May 14 18:06:03 CEST 2017
4.70,5.20,32.00,38.60,Sun May 14 18:07:02 CEST 2017
5.00,6.80,32.80,38.20,Sun May 14 18:08:04 CEST 2017
4.50,9.00,32.60,38.20,Sun May 14 18:09:03 CEST 2017
4.30,6.20,33.20,37.80,Sun May 14 18:10:02 CEST 2017
5.90,6.80,33.70,37.20,Sun May 14 18:11:04 CEST 2017
4.70,6.70,33.80,36.50,Sun May 14 18:12:03 CEST 2017
4.40,4.80,33.70,35.70,Sun May 14 18:13:02 CEST 2017
4.60,5.10,34.30,34.90,Sun May 14 18:14:04 CEST 2017
4.50,4.90,35.20,34.10,Sun May 14 18:15:03 CEST 2017
4.30,4.70,35.80,33.60,Sun May 14 18:16:02 CEST 2017
4.20,4.60,36.40,33.80,Sun May 14 18:17:04 CEST 2017
4.50,4.90,35.70,33.80,Sun May 14 18:18:03 CEST 2017
4.60,5.40,35.60,33.80,Sun May 14 18:19:02 CEST 2017
5.10,8.20,35.40,33.80,Sun May 14 18:20:04 CEST 2017
5.40,9.00,35.70,33.80,Sun May 14 18:21:03 CEST 2017
6.10,6.70,35.90,33.90,Sun May 14 18:22:02 CEST 2017
4.00,5.10,35.50,34.10,Sun May 14 18:23:04 CEST 2017
4.70,5.20,35.80,34.00,Sun May 14 18:24:03 CEST 2017
5.00,5.40,35.90,34.00,Sun May 14 18:25:02 CEST 2017
5.20,5.80,35.40,34.00,Sun May 14 18:26:05 CEST 2017
4.80,5.60,35.80,34.20,Sun May 14 18:27:04 CEST 2017
4.60,7.50,35.90,34.00,Sun May 14 18:28:03 CEST 2017
5.30,12.20,35.90,33.60,Sun May 14 18:29:05 CEST 2017
4.80,6.70,36.40,33.20,Sun May 14 18:30:04 CEST 2017
5.20,12.70,36.70,32.90,Sun May 14 18:31:03 CEST 2017
4.90,8.00,36.50,32.70,Sun May 14 18:32:05 CEST 2017
4.70,5.20,38.10,32.20,Sun May 14 18:33:04 CEST 2017
4.10,4.60,37.40,31.80,Sun May 14 18:34:03 CEST 2017
5.00,5.70,37.90,31.30,Sun May 14 18:35:05 CEST 2017
4.20,4.60,38.80,30.80,Sun May 14 18:36:04 CEST 2017
5.00,5.60,39.80,30.40,Sun May 14 18:37:03 CEST 2017
4.70,6.40,39.90,30.10,Sun May 14 18:38:05 CEST 2017
4.50,7.30,40.60,29.90,Sun May 14 18:39:04 CEST 2017
4.70,8.00,40.90,29.50,Sun May 14 18:40:03 CEST 2017
4.60,5.50,41.00,29.20,Sun May 14 18:41:02 CEST 2017
4.60,6.50,40.90,28.90,Sun May 14 18:42:04 CEST 2017
4.30,4.70,40.90,28.60,Sun May 14 18:43:03 CEST 2017
4.80,6.00,41.10,28.50,Sun May 14 18:44:02 CEST 2017
4.60,5.00,40.90,28.40,Sun May 14 18:45:04 CEST 2017
4.40,7.30,41.50,28.30,Sun May 14 18:46:03 CEST 2017
4.50,5.80,41.60,28.10,Sun May 14 18:47:02 CEST 2017
4.20,5.00,41.50,28.00,Sun May 14 18:48:04 CEST 2017
4.20,5.60,41.50,27.90,Sun May 14 18:49:03 CEST 2017
4.60,5.90,41.90,27.70,Sun May 14 18:50:02 CEST 2017
4.70,6.20,42.10,27.60,Sun May 14 18:51:04 CEST 2017
4.40,6.30,42.30,27.30,Sun May 14 18:52:03 CEST 2017
4.90,6.50,42.60,27.20,Sun May 14 18:53:02 CEST 2017
5.10,7.60,42.80,27.20,Sun May 14 18:54:04 CEST 2017
5.30,14.40,42.60,27.20,Sun May 14 18:55:03 CEST 2017
5.80,9.70,nan,nan,Sun May 14 18:56:02 CEST 2017
4.40,7.10,42.80,27.10,Sun May 14 18:57:04 CEST 2017
4.50,6.10,42.40,27.00,Sun May 14 18:58:03 CEST 2017
4.70,5.20,42.60,26.90,Sun May 14 18:59:02 CEST 2017
4.50,5.20,42.70,26.80,Sun May 14 19:00:04 CEST 2017
4.50,4.90,42.90,26.70,Sun May 14 19:01:03 CEST 2017
4.90,6.10,43.30,26.50,Sun May 14 19:02:02 CEST 2017
4.70,6.10,43.20,26.50,Sun May 14 19:03:04 CEST 2017
5.10,7.40,43.40,26.40,Sun May 14 19:04:03 CEST 2017
4.50,11.20,43.70,26.40,Sun May 14 19:05:02 CEST 2017
4.90,8.00,43.20,26.40,Sun May 14 19:06:04 CEST 2017
4.60,7.50,43.30,26.30,Sun May 14 19:07:03 CEST 2017
4.80,7.40,43.70,26.20,Sun May 14 19:08:02 CEST 2017
4.30,4.70,43.80,26.10,Sun May 14 19:09:04 CEST 2017
4.90,6.30,44.10,26.00,Sun May 14 19:10:03 CEST 2017
5.50,7.30,44.00,25.90,Sun May 14 19:11:02 CEST 2017
5.00,9.60,44.20,25.80,Sun May 14 19:12:04 CEST 2017
4.90,5.40,44.50,25.70,Sun May 14 19:13:04 CEST 2017
4.50,8.50,44.70,25.70,Sun May 14 19:14:03 CEST 2017
4.90,7.10,44.70,25.50,Sun May 14 19:15:05 CEST 2017
4.50,6.80,44.70,25.50,Sun May 14 19:16:04 CEST 2017
4.90,6.00,45.60,25.30,Sun May 14 19:17:03 CEST 2017
5.20,7.10,46.10,25.20,Sun May 14 19:18:05 CEST 2017
4.80,5.30,46.10,25.10,Sun May 14 19:19:04 CEST 2017
